2026-06-29 14:29:07,957 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-1h-result-WM100 | subtask=1 | min=477ms | max=719ms | avg=591.41ms | windowEvents=76 | totalEvents=77
2026-06-29 14:29:07,962 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-6h-result-ADAPTIVE | subtask=0 | min=119ms | max=357ms | avg=273.23ms | windowEvents=30 | totalEvents=31
2026-06-29 14:29:08,359 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-6h-result-WM100 | subtask=0 | min=492ms | max=696ms | avg=566.30ms | windowEvents=30 | totalEvents=31
2026-06-29 14:29:12,056 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q1-1h-result-WM15 | subtask=0 | min=90ms | max=405ms | avg=193.80ms | windowEvents=50 | totalEvents=115
2026-06-29 14:29:12,056 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q1-1h-result-WM15 | subtask=1 | min=82ms | max=292ms | avg=179.02ms | windowEvents=45 | totalEvents=100
2026-06-29 14:29:12,084 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q1-1h-result-WM100 | subtask=0 | min=367ms | max=632ms | avg=494.38ms | windowEvents=50 | totalEvents=113
2026-06-29 14:29:12,084 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q1-1h-result-WM100 | subtask=1 | min=379ms | max=624ms | avg=483.33ms | windowEvents=45 | totalEvents=98
2026-06-29 14:29:12,092 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q1-1h-result-ADAPTIVE | subtask=0 | min=85ms | max=439ms | avg=195.00ms | windowEvents=50 | totalEvents=115
2026-06-29 14:29:12,092 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q1-1h-result-ADAPTIVE | subtask=1 | min=80ms | max=325ms | avg=176.27ms | windowEvents=45 | totalEvents=100
2026-06-29 14:29:12,176 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-1h-result-WM15 | subtask=0 | min=209ms | max=424ms | avg=287.20ms | windowEvents=83 | totalEvents=158
2026-06-29 14:29:12,360 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-1h-result-WM100 | subtask=0 | min=455ms | max=673ms | avg=573.17ms | windowEvents=92 | totalEvents=158
2026-06-29 14:29:12,377 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-1h-result-ADAPTIVE | subtask=0 | min=184ms | max=383ms | avg=270.77ms | windowEvents=86 | totalEvents=166
2026-06-29 14:29:12,577 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-1h-result-ADAPTIVE | subtask=1 | min=199ms | max=339ms | avg=264.84ms | windowEvents=61 | totalEvents=138
2026-06-29 14:29:12,777 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-1h-result-WM15 | subtask=1 | min=206ms | max=411ms | avg=279.62ms | windowEvents=61 | totalEvents=138
2026-06-29 14:29:12,961 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-1h-result-WM100 | subtask=1 | min=459ms | max=708ms | avg=560.16ms | windowEvents=61 | totalEvents=138
2026-06-29 14:29:13,477 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q3-1day-result-WM15 | subtask=1 | min=216ms | max=4504ms | avg=2299.09ms | windowEvents=92 | totalEvents=93
2026-06-29 14:29:13,477 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q3-1day-result-WM15 | subtask=0 | min=216ms | max=4690ms | avg=2086.19ms | windowEvents=73 | totalEvents=74
