ts,rank,origin_airport_id,num_flights,severe_delays,dep_delay_mean,dep_delay_max,delayed_flights
2025-04-27 18:00:00,8,11057,199,29,11.03,177.00,"[(AA,14771,177.00), (AA,12953,177.00), (AA,11618,158.00), (UA,11618,150.00), (AA,11618,127.00), (AA,10994,121.00), (OH,15412,84.00), (OH,12197,77.00), (AA,14869,74.00), (AA,13487,74.00), (AA,13930,70.00), (AA,12478,65.00), (AA,11298,65.00), (MQ,14783,61.00), (AA,14524,58.00), (NK,12953,57.00), (AA,14908,54.00), (OH,11267,51.00), (AA,15919,46.00), (AA,13198,45.00)]"
2025-04-27 18:00:00,9,13303,116,26,19.32,143.00,"[(AA,15016,143.00), (AA,13204,137.00), (UA,11618,129.00), (AA,13495,124.00), (AA,13204,124.00), (AA,12478,116.00), (AA,10721,115.00), (UA,11618,111.00), (AA,14524,102.00), (NK,12953,95.00), (AA,12892,94.00), (AA,13930,89.00), (AA,13487,88.00), (AA,15304,88.00), (NK,11298,86.00), (AA,14679,86.00), (AA,12953,62.00), (DL,10397,45.00), (AA,11298,43.00), (AA,11042,36.00)]"
2025-04-28 06:00:00,1,11292,319,26,4.58,196.00,"[(UA,13930,196.00), (F9,11433,188.00), (OO,14457,135.00), (OO,14794,112.00), (OO,11413,106.00), (OO,13158,95.00), (OO,13476,94.00), (DL,14747,93.00), (UA,13930,90.00), (OO,11097,90.00), (OO,11921,88.00), (UA,11057,84.00), (OO,11775,75.00), (OO,13851,61.00), (UA,13204,54.00), (OO,14457,45.00), (AA,11298,42.00), (AA,14100,40.00), (WN,10693,38.00), (UA,13930,37.00)]"
2025-04-28 06:00:00,10,14869,123,11,2.86,218.00,"[(DL,11292,218.00), (DL,14893,96.00), (DL,10397,88.00), (DL,12889,70.00), (DL,12954,66.00), (DL,12892,57.00), (OO,14252,40.00), (OO,13127,37.00), (DL,13198,35.00), (DL,10423,32.00), (DL,10397,31.00)]"
2025-04-28 06:00:00,2,11298,296,20,3.82,469.00,"[(AA,10140,469.00), (MQ,11921,193.00), (AA,11433,190.00), (OH,12448,162.00), (NK,10397,104.00), (AA,14908,71.00), (AA,12173,66.00), (AA,13871,61.00), (OO,14674,55.00), (AA,14027,53.00), (AA,11066,52.00), (AA,10849,50.00), (AA,14683,47.00), (AA,13198,46.00), (AA,11697,45.00), (MQ,13198,40.00), (MQ,14193,35.00), (AA,14843,33.00), (AA,13204,32.00), (AA,11292,31.00)]"
2025-04-28 06:00:00,3,13487,125,15,8.64,297.00,"[(OO,13459,297.00), (DL,14747,139.00), (AS,14747,135.00), (DL,14685,119.00), (DL,13930,112.00), (OO,10423,101.00), (DL,11648,99.00), (WN,14107,76.00), (OO,12129,56.00), (DL,14869,51.00), (DL,15624,50.00), (WN,13232,50.00), (YX,13930,44.00), (OO,14520,40.00), (AA,11057,31.00)]"
2025-04-28 06:00:00,4,14747,185,15,3.97,161.00,"[(DL,11697,161.00), (DL,12478,102.00), (OO,14771,83.00), (AS,10693,64.00), (F9,11292,63.00), (AS,11298,60.00), (AS,10713,52.00), (OO,14057,51.00), (AS,12758,45.00), (AS,12266,44.00), (AS,12982,42.00), (AS,14122,40.00), (AS,11193,38.00), (AS,12173,35.00), (AS,12889,31.00)]"
2025-04-28 06:00:00,5,14107,238,14,4.23,364.00,"[(WN,10397,364.00), (AA,13891,155.00), (OO,14771,117.00), (WN,13342,99.00), (WN,12191,81.00), (OO,11695,80.00), (WN,13796,73.00), (AA,13342,55.00), (AA,11057,49.00), (AA,11603,41.00), (AA,12892,39.00), (WN,13871,36.00), (HA,12173,36.00), (DL,10721,31.00)]"
2025-04-28 06:00:00,6,12892,213,13,5.32,370.00,"[(DL,12478,370.00), (NK,14747,368.00), (DL,12478,287.00), (AA,11298,102.00), (AA,10721,83.00), (DL,10397,70.00), (AA,13303,62.00), (WN,14771,58.00), (OO,14679,50.00), (WN,14893,45.00), (DL,14869,34.00), (AA,12339,34.00), (OO,14831,32.00)]"
2025-04-28 06:00:00,7,14771,169,12,1.38,120.00,"[(OO,14107,120.00), (OO,14747,85.00), (AA,14107,65.00), (HA,13830,63.00), (WN,14679,58.00), (OO,10849,53.00), (UA,10721,53.00), (B6,10721,49.00), (B6,11697,46.00), (OO,14698,44.00), (OO,14689,38.00), (B6,10721,33.00)]"
2025-04-28 06:00:00,8,11278,164,12,-0.10,138.00,"[(AS,12892,138.00), (AA,14307,104.00), (AA,14307,77.00), (OH,10599,75.00), (AA,13930,74.00), (AA,15304,58.00), (YX,12953,54.00), (OH,13495,41.00), (AA,14986,40.00), (WN,13232,35.00), (WN,11259,33.00), (YX,11193,32.00)]"
2025-04-28 06:00:00,9,13930,341,12,-0.95,176.00,"[(OO,11337,176.00), (AA,14683,119.00), (OO,14108,111.00), (MQ,10792,104.00), (UA,11433,81.00), (MQ,12884,78.00), (MQ,13851,56.00), (MQ,11995,46.00), (UA,10423,46.00), (AA,14679,43.00), (AA,14057,43.00), (NK,14843,35.00)]"
2025-04-28 12:00:00,1,11618,85,42,115.73,1066.00,"[(YX,10721,1066.00), (DL,10397,987.00), (DL,11433,539.00), (DL,10397,531.00), (UA,13930,511.00), (UA,13204,397.00), (AS,14057,367.00), (UA,14679,298.00), (UA,14107,269.00), (AS,14771,267.00), (AS,14679,261.00), (NK,11057,255.00), (UA,14635,247.00), (UA,11057,221.00), (UA,11042,221.00), (UA,14771,207.00), (AS,14747,207.00), (UA,14635,197.00), (UA,11292,188.00), (NK,13303,185.00)]"
2025-04-28 12:00:00,10,14747,140,21,12.74,431.00,"[(AA,11298,431.00), (NK,12892,370.00), (OO,14489,115.00), (DL,14869,75.00), (AS,11292,70.00), (OO,13264,67.00), (AS,14679,66.00), (OO,14908,63.00), (OO,14057,60.00), (OO,14107,60.00), (OO,14893,59.00), (AS,11630,48.00), (OO,10713,47.00), (AS,10299,41.00), (AS,14869,40.00), (DL,12758,39.00), (DL,13487,39.00), (OO,14771,36.00), (DL,12478,35.00), (AS,13930,33.00)]"
2025-04-28 12:00:00,2,11298,303,39,10.40,377.00,"[(AA,11618,377.00), (AA,14107,285.00), (UA,11618,256.00), (AA,11540,206.00), (AA,12889,188.00), (AA,13256,184.00), (OO,13256,179.00), (AA,10423,150.00), (AA,11042,140.00), (AA,11003,111.00), (AA,12892,102.00), (AA,11423,90.00), (NK,14843,90.00), (AA,13204,88.00), (AA,14193,87.00), (MQ,11066,83.00), (AA,15016,69.00), (AA,11066,64.00), (AA,14679,61.00), (AA,12266,59.00)]"
2025-04-28 12:00:00,3,11292,313,38,13.07,301.00,"[(UA,13204,301.00), (UA,11109,215.00), (UA,13930,177.00), (OO,11637,173.00), (UA,11618,172.00), (DL,14869,166.00), (UA,13931,151.00), (OO,16869,142.00), (OO,14869,111.00), (UA,10423,108.00), (OO,14543,107.00), (UA,11775,104.00), (OO,11921,100.00), (OO,11413,92.00), (OO,11468,92.00), (UA,11618,88.00), (UA,12758,85.00), (OO,12255,81.00), (F9,14683,76.00), (UA,14747,73.00)]"
2025-04-28 12:00:00,4,14107,215,34,15.59,332.00,"[(AS,14747,332.00), (AA,13485,305.00), (AA,13495,218.00), (UA,11618,185.00), (OO,10140,147.00), (WN,11042,131.00), (AA,12478,123.00), (OO,15376,123.00), (WN,13232,117.00), (AA,15304,106.00), (AA,12889,103.00), (DL,14869,99.00), (OO,11695,93.00), (WN,10140,89.00), (WN,11109,79.00), (OO,11423,77.00), (OO,14747,72.00), (WN,11884,58.00), (WN,10693,54.00), (AA,11618,52.00)]"
2025-04-28 12:00:00,5,13930,301,31,9.07,501.00,"[(F9,13204,501.00), (UA,11618,402.00), (UA,11618,257.00), (UA,14679,256.00), (OO,13871,213.00), (WN,10821,104.00), (UA,11292,94.00), (UA,14771,84.00), (AA,12953,81.00), (UA,13487,79.00), (YX,11423,77.00), (DL,13487,74.00), (OO,11066,69.00), (AA,10423,67.00), (UA,14771,62.00), (OO,13342,62.00), (UA,14747,59.00), (UA,12264,51.00), (AA,11057,50.00), (MQ,15919,48.00)]"
2025-04-28 12:00:00,6,11278,156,25,10.22,292.00,"[(AS,14747,292.00), (WN,11259,148.00), (WN,14307,143.00), (YX,10994,127.00), (AA,10721,122.00), (AS,14057,111.00), (DL,13204,100.00), (YX,14730,82.00), (OH,11042,71.00), (AA,10721,70.00), (AA,14122,65.00), (YX,12953,60.00), (WN,15304,55.00), (WN,12889,53.00), (YX,10721,52.00), (YX,14100,51.00), (AA,10529,47.00), (YX,10397,45.00), (OH,13577,44.00), (YX,14307,40.00)]"
2025-04-28 12:00:00,7,10397,309,23,7.25,481.00,"[(NK,11618,481.00), (DL,11618,471.00), (DL,11618,239.00), (UA,11618,176.00), (DL,12451,109.00), (DL,14730,92.00), (DL,10529,87.00), (DL,10423,74.00), (OO,13277,71.00), (DL,10821,61.00), (DL,13577,59.00), (WN,13232,57.00), (WN,11259,51.00), (OO,14814,49.00), (DL,10423,48.00), (AA,11298,48.00), (DL,11278,39.00), (DL,12892,37.00), (F9,12889,37.00), (DL,11193,36.00)]"
2025-04-28 12:00:00,8,13487,95,22,17.84,369.00,"[(DL,11618,369.00), (DL,11433,92.00), (UA,11292,87.00), (OO,10739,74.00), (DL,15016,66.00), (OO,10408,64.00), (DL,14683,53.00), (DL,13342,49.00), (DL,13204,47.00), (OO,14771,46.00), (WN,10693,44.00), (DL,11433,42.00), (WN,13232,42.00), (DL,14747,40.00), (OO,13232,39.00), (UA,13930,39.00), (WN,13232,35.00), (OO,13871,34.00), (DL,12953,34.00), (DL,10721,33.00)]"
2025-04-28 12:00:00,9,13303,104,21,23.69,571.00,"[(F9,14100,571.00), (AA,11618,229.00), (NK,12266,220.00), (AA,13204,122.00), (AA,12478,113.00), (AA,15024,108.00), (AA,10599,108.00), (UA,11618,92.00), (AA,10397,82.00), (AA,13244,78.00), (AA,11298,73.00), (AA,12953,69.00), (AA,14843,66.00), (AA,12892,64.00), (AA,10994,62.00), (AA,13495,60.00), (AA,15304,59.00), (AA,13930,57.00), (NK,11057,42.00), (AA,10693,42.00)]"
2025-04-28 18:00:00,1,11298,270,49,15.94,601.00,"[(OO,13158,601.00), (AA,10279,231.00), (AA,10561,174.00), (AA,11618,174.00), (AA,11986,163.00), (AA,13485,154.00), (AA,14893,146.00), (AA,14107,133.00), (OO,12891,129.00), (AA,15016,115.00), (AA,13256,115.00), (UA,11618,112.00), (AA,14730,110.00), (AA,11996,106.00), (OO,10185,103.00), (OO,10155,100.00), (AA,15096,94.00), (AA,11292,94.00), (AA,12889,89.00), (AA,12892,83.00)]"
2025-04-28 18:00:00,10,11278,94,19,21.24,575.00,"[(OH,13487,575.00), (AA,14492,288.00), (YX,12945,219.00), (OH,15016,151.00), (OH,12217,143.00), (OH,14576,110.00), (AS,14771,105.00), (AA,10529,96.00), (WN,13232,79.00), (AA,10785,76.00), (OH,10868,68.00), (OH,10257,66.00), (OH,13296,58.00), (YX,14100,55.00), (WN,13232,40.00), (AA,12451,36.00), (WN,12191,35.00), (YX,14122,33.00), (AA,13303,32.00)]"
2025-04-28 18:00:00,2,13487,87,35,41.25,694.00,"[(DL,12478,694.00), (OO,13851,288.00), (DL,11433,278.00), (DL,10423,261.00), (YX,11618,178.00), (DL,10620,119.00), (OO,12278,106.00), (DL,14908,105.00), (DL,11618,92.00), (OO,14730,75.00), (OO,13871,73.00), (DL,10397,69.00), (OO,12264,64.00), (DL,12953,62.00), (DL,11057,62.00), (DL,14635,60.00), (MQ,13930,59.00), (DL,12892,54.00), (DL,11298,52.00), (DL,13198,49.00)]"
2025-04-28 18:00:00,3,11618,48,34,141.54,477.00,"[(NK,11697,477.00), (AS,14747,417.00), (AA,11057,402.00), (DL,13487,372.00), (F9,10397,296.00), (UA,11697,293.00), (UA,12889,291.00), (UA,12266,258.00), (AA,13303,256.00), (DL,10397,254.00), (UA,14027,243.00), (UA,10721,240.00), (UA,14635,233.00), (UA,12892,228.00), (UA,10785,213.00), (AS,14771,206.00), (UA,15304,205.00), (UA,11057,204.00), (UA,13487,176.00), (UA,11298,170.00)]"
2025-04-28 18:00:00,4,13930,247,33,19.89,1021.00,"[(DL,14747,1021.00), (OO,11337,742.00), (OO,14108,339.00), (UA,14683,319.00), (AA,11618,198.00), (MQ,13076,194.00), (NK,11618,191.00), (DL,14869,188.00), (UA,11618,185.00), (UA,14122,163.00), (UA,13487,134.00), (OO,11721,123.00), (OO,14696,105.00), (AA,11697,102.00), (UA,14057,88.00), (AA,11278,74.00), (UA,11618,68.00), (AS,14771,57.00), (UA,11986,49.00), (MQ,14730,46.00)]"
2025-04-28 18:00:00,5,11292,223,33,10.24,101.00,"[(WN,10713,101.00), (UA,10423,98.00), (WN,14524,97.00), (OO,11109,93.00), (OO,14534,92.00), (WN,14831,89.00), (UA,12266,85.00), (UA,13502,78.00), (WN,13487,70.00), (WN,14908,56.00), (OO,14812,55.00), (UA,12441,54.00), (WN,14747,53.00), (AS,14057,52.00), (F9,12266,50.00), (WN,14100,46.00), (WN,10693,45.00), (WN,14869,45.00), (WN,14683,44.00), (UA,14831,41.00)]"
2025-04-28 18:00:00,6,10397,285,32,7.54,316.00,"[(F9,11618,316.00), (DL,11618,168.00), (DL,11618,140.00), (NK,11618,115.00), (AA,13303,110.00), (DL,11042,91.00), (DL,10423,76.00), (DL,13204,75.00), (DL,14122,69.00), (DL,11292,65.00), (DL,14683,57.00), (DL,11433,57.00), (DL,10821,55.00), (DL,11193,55.00), (DL,13342,55.00), (DL,11618,52.00), (DL,14576,52.00), (DL,11057,49.00), (DL,12953,45.00), (F9,12478,44.00)]"
2025-04-28 18:00:00,7,11057,194,29,18.42,874.00,"[(OH,14108,874.00), (AA,11618,337.00), (OH,11996,244.00), (AA,12889,195.00), (UA,11618,179.00), (AA,15304,169.00), (AA,11042,167.00), (OH,11995,133.00), (AA,11618,113.00), (OH,12945,112.00), (OH,13931,105.00), (OH,11973,70.00), (OH,12945,69.00), (OH,10599,62.00), (AA,13930,56.00), (AA,13577,55.00), (OH,12264,54.00), (OH,14730,53.00), (AA,10721,50.00), (AA,14576,49.00)]"
2025-04-28 18:00:00,8,13303,111,20,17.52,432.00,"[(AA,15304,432.00), (AA,10423,185.00), (AA,12892,171.00), (AA,11618,138.00), (AA,11298,124.00), (NK,13495,101.00), (NK,12953,96.00), (AA,15412,86.00), (AA,12266,80.00), (AA,10721,66.00), (AA,12323,66.00), (AA,10721,59.00), (AA,11292,59.00), (AA,13931,54.00), (AA,10397,44.00), (AA,14685,43.00), (UA,11618,41.00), (AA,12892,39.00), (AA,10821,33.00), (AA,11278,32.00)]"
2025-04-28 18:00:00,9,13204,108,20,12.20,140.00,"[(AA,13303,140.00), (UA,11618,135.00), (WN,11278,118.00), (WN,10792,85.00), (B6,12478,80.00), (DL,11278,72.00), (WN,13232,65.00), (DL,13487,61.00), (WN,11259,59.00), (NK,12266,55.00), (NK,14100,53.00), (AA,14100,48.00), (B6,10792,42.00), (WN,13495,35.00), (WN,13342,34.00), (WN,11697,34.00), (UA,12892,33.00), (WN,10423,32.00), (WN,11292,32.00), (WN,14122,32.00)]"
