window_start,window_end,airline,num_flights,completed,cancelled,diverted,dep_delay_mean,cancellation_rate,late_departure_rate
2025-04-29T10:00:00Z,2025-04-29T11:00:00Z,AA,152,151,1,0,1.30,0.6579,8.6093
2025-04-29T10:00:00Z,2025-04-29T11:00:00Z,DL,158,158,0,0,-3.25,0.0000,4.4304
2025-04-29T10:00:00Z,2025-04-29T11:00:00Z,UA,128,127,1,0,-0.53,0.7813,7.8740
2025-04-29T10:00:00Z,2025-04-29T11:00:00Z,WN,257,257,0,0,0.83,0.0000,6.6148
2025-04-29T11:00:00Z,2025-04-29T12:00:00Z,AA,162,162,0,0,2.88,0.0000,12.3457
2025-04-29T11:00:00Z,2025-04-29T12:00:00Z,DL,211,211,0,0,0.73,0.0000,7.5829
2025-04-29T11:00:00Z,2025-04-29T12:00:00Z,UA,123,123,0,0,-0.65,0.0000,8.1301
2025-04-29T11:00:00Z,2025-04-29T12:00:00Z,WN,226,226,0,0,4.78,0.0000,7.0796
2025-04-29T12:00:00Z,2025-04-29T13:00:00Z,AA,144,143,1,0,7.94,0.6944,12.5874
2025-04-29T12:00:00Z,2025-04-29T13:00:00Z,DL,182,182,0,0,0.84,0.0000,7.6923
2025-04-29T12:00:00Z,2025-04-29T13:00:00Z,UA,119,119,0,0,1.82,0.0000,5.0420
2025-04-29T12:00:00Z,2025-04-29T13:00:00Z,WN,219,218,1,0,-0.33,0.4566,4.1284
2025-04-29T13:00:00Z,2025-04-29T14:00:00Z,AA,146,146,0,0,4.66,0.0000,12.3288
2025-04-29T13:00:00Z,2025-04-29T14:00:00Z,DL,147,147,0,0,0.98,0.0000,7.4830
2025-04-29T13:00:00Z,2025-04-29T14:00:00Z,UA,123,123,0,0,3.00,0.0000,8.9431
2025-04-29T13:00:00Z,2025-04-29T14:00:00Z,WN,242,241,1,0,5.90,0.4132,13.2780
2025-04-29T14:00:00Z,2025-04-29T15:00:00Z,AA,144,144,0,0,9.76,0.0000,11.8056
2025-04-29T14:00:00Z,2025-04-29T15:00:00Z,DL,151,151,0,0,0.60,0.0000,9.9338
2025-04-29T14:00:00Z,2025-04-29T15:00:00Z,UA,126,126,0,0,3.53,0.0000,13.4921
2025-04-29T14:00:00Z,2025-04-29T15:00:00Z,WN,221,221,0,0,3.72,0.0000,9.9548
2025-04-29T15:00:00Z,2025-04-29T16:00:00Z,AA,138,138,0,0,13.71,0.0000,10.8696
2025-04-29T15:00:00Z,2025-04-29T16:00:00Z,DL,182,182,0,0,4.42,0.0000,13.7363
2025-04-29T15:00:00Z,2025-04-29T16:00:00Z,UA,96,96,0,0,5.71,0.0000,15.6250
2025-04-29T15:00:00Z,2025-04-29T16:00:00Z,WN,223,223,0,0,6.48,0.0000,17.4888
2025-04-29T16:00:00Z,2025-04-29T17:00:00Z,AA,142,142,0,0,15.37,0.0000,21.8310
2025-04-29T16:00:00Z,2025-04-29T17:00:00Z,DL,127,127,0,0,0.39,0.0000,12.5984
2025-04-29T16:00:00Z,2025-04-29T17:00:00Z,UA,139,139,0,0,7.23,0.0000,18.7050
2025-04-29T16:00:00Z,2025-04-29T17:00:00Z,WN,227,226,1,0,5.24,0.4405,15.9292
2025-04-29T17:00:00Z,2025-04-29T18:00:00Z,AA,155,155,0,0,7.94,0.0000,14.1935
