window_type,scope,airline,hour,metric,wm15_mean,wm100_mean,adaptive_mean,abs_diff_wm100_minus_wm15,pct_diff_wm100_vs_wm15,abs_diff_adaptive_minus_wm15,pct_diff_adaptive_vs_wm15,wm15_non_null_values,wm100_non_null_values,adaptive_non_null_values
1day,airline_hour,AA,9,max,484.268908,484.268908,484.268908,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,10,min,-12.865546,-12.865546,-12.865546,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,AA,10,p25,-5.112605,-5.112605,-5.112605,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,AA,10,p50,-1.507227,-1.507227,-1.507227,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,AA,10,p75,9.815546,9.815546,9.815546,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,10,p90,37.791933,37.791933,37.791933,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,10,max,383.302521,383.302521,383.302521,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,11,min,-12.857143,-12.857143,-12.857143,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,AA,11,p25,-5.007479,-5.007479,-5.007479,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,AA,11,p50,-1.245462,-1.245462,-1.245462,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,AA,11,p75,10.314874,10.314874,10.314874,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,11,p90,39.990588,39.990588,39.990588,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,11,max,477.94958,477.94958,477.94958,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,12,min,-13.462185,-13.462185,-13.462185,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,AA,12,p25,-4.582101,-4.582101,-4.582101,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,AA,12,p50,0.165294,0.165294,0.165294,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,12,p75,15.710336,15.710336,15.710336,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,12,p90,51.807899,51.807899,51.807899,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,12,max,562.10084,562.10084,562.10084,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,13,min,-13.521008,-13.521008,-13.521008,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,AA,13,p25,-4.822941,-4.822941,-4.822941,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,AA,13,p50,-0.551008,-0.551008,-0.551008,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,AA,13,p75,13.823782,13.823782,13.823782,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,13,p90,49.706387,49.706387,49.706387,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,13,max,500.504202,500.504202,500.504202,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,14,min,-13.840336,-13.840336,-13.840336,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,AA,14,p25,-4.680672,-4.680672,-4.680672,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,AA,14,p50,0.20437,0.20437,0.20437,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,14,p75,16.3,16.3,16.3,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,14,p90,52.376723,52.376723,52.376723,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,14,max,445.02521,445.02521,445.02521,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,15,min,-14.0,-14.0,-14.0,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,AA,15,p25,-4.693445,-4.693445,-4.693445,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,AA,15,p50,0.878655,0.878655,0.878655,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,15,p75,19.639832,19.639832,19.639832,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,15,p90,59.593697,59.593697,59.593697,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,15,max,442.882353,442.882353,442.882353,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,16,min,-15.201681,-15.201681,-15.201681,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,AA,16,p25,-4.597227,-4.597227,-4.597227,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,AA,16,p50,0.858067,0.858067,0.858067,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,16,p75,17.744034,17.744034,17.744034,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,16,p90,56.569748,56.569748,56.569748,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,16,max,488.97479,488.97479,488.97479,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,17,min,-14.176471,-14.176471,-14.176471,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,AA,17,p25,-4.822269,-4.822269,-4.822269,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,AA,17,p50,1.392857,1.392857,1.392857,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,17,p75,20.901513,20.901513,20.901513,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,17,p90,62.775882,62.775882,62.775882,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,17,max,498.319328,498.319328,498.319328,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,18,min,-15.378151,-15.378151,-15.378151,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,AA,18,p25,-4.276891,-4.276891,-4.276891,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,AA,18,p50,2.140756,2.140756,2.140756,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,18,p75,21.485042,21.485042,21.485042,0.0,0.0,0.0,0.0,119,119,119
